token	repeticiones	#docs
adoelengedes	1	1
kisberuhazas	1	1
amott	1	1
aleertekelest	1	1
bejelentik	1	1
esdemokracia	1	1
nihilizmus	2	2
bunkok	1	1
ettolpusztul	1	1
szinvonal	1	1
dolgaban	1	1
utiaz	1	1
atlagot	1	1
uberolja	1	1
valasztoit	1	1
europaparlament	1	1
zsebukbe	2	1
nezzenek	1	1
nihilizmusbanaz	1	1
osztozik	1	1
varakozasa	1	1
hogypl	1	1
kormanyvaltozassal	1	1
befolyasolhatok	1	1
teljesenalaptalan	1	1
ujjnyoma	1	1
agyakbanmiert	1	1
kulonbozik	1	1
felsorolni	1	1
nehanyat	1	1
vilagitunk	1	1
homogen	2	2
atanarok	1	1
gyokertelenitett	1	1
kornyezet	1	1
kitelepitett	1	1
varosra	1	1
vandorolt	1	1
hatterbol	2	2
hosszusaga	1	1
tartosbenyomasokat	1	1
mindenkiben	2	2
gumibottal	1	1
vagymediaval	1	1
valtozatlanrendszerhez	1	1
egyennek	1	1
alkalmazkodnia	1	1
alkalmazkodastjutalmazzak	1	1
letezest	1	1
rendszerellenesnekdeklaralt	1	1
elkovetes	1	1
sulyosbito	1	1
konformizmust	1	1
szkajbevonatu	1	1
vaslabu	1	1
fotelek	1	1
kenyelmevel	1	1
jutalmaz	1	1
tekintunk	1	1
turelmesen	1	1
aszkajfotelre	1	1
alkalmazkodnak	1	1
escsurka	2	2
osszecsapott	1	1
delegatusok	1	1
mindkettojukettamogattak	1	1
partokbol	1	1
csakkimaradnak	1	1
zavarni	1	1
kilepesek	1	1
kerdeshez	1	1
vannakamikor	1	1
lazan	1	1
tagoknak	1	1
jelentkezniuk	1	1
jeletkezett	1	1
szabalyzata	3	1
mondogattak	1	1
atlepok	1	1
kilepettbelolem	1	1
kifejezes	9	4
milynelelki	1	1
tartalmakra	1	1
korabbimszmp	2	1
jogviszonya	1	1
nemleges	1	1
megszuntmszmp	1	1
jogfolytonossa	1	1
nevsora	1	1
mozgalmimuzeumokban	1	1
kiallitasra	1	1
kevesenleptek	1	1
elkeseritoen	1	1
jogervenyesnyilatkozatot	1	1
hetszazezerbolsevik	1	1
nagyresze	1	1
jogszeruen	1	1
partjabol	1	1
csapdajade	1	1
masikba	1	1
belephetett	1	1
jozsefelhatarozta	1	1
korevel	1	1
regikommunista	1	1
korifeus	1	1
szemelyebenugyanolyan	1	1
udvozolhetett	1	1
kifogasoltnepfront	1	1
csoborbol	1	1
vodorbe	1	1
akarkivel	1	1
paktumot	5	1
jogallasu	1	1
barkivel	1	1
iskotott	1	1
dimenzioban	1	1
alternativaja	2	2
esbarmilyen	1	1
erdekesnektekinteni	1	1
idokig	2	2
elkeseredettenkuzdott	1	1
megsemmisiteseert	1	1
joszabo	1	1
bankkonszolidacio	1	1
feltokesitette	1	1
ellenseget	1	1
honapokkal	1	1
avalasztasok	2	2
hulyevel	1	1
kotne	1	1
kifizet	1	1
legadazabb	2	2
ellensegeinek	1	1
nehanyhonappal	1	1
kormanypartinak	1	1
terjunk	1	1
tagokra	1	1
felbukkannak	1	1
bartagnyilvantartas	1	1
elvtarsak	2	2
mndp	1	1
tagadhatjak	1	1
multjukat	1	1
voltegyszeru	1	1
tevedesnel	1	1
karrierizmusnal	1	1
ecklespio	1	1
magyarorszagmarc	1	1
mediabirtoklasaz	1	1
allamoktol	1	1
vallveregetestkapott	1	1
hozomra	1	1
azitteni	1	1
iteletere	1	1
tamaszkodva	1	1
emberjogijelenteseben	1	1
marminden	1	1
erzekelik	1	1
akadar	2	2
tapasztaltakat	1	1
ottmanapsag	1	1
parlamentikozvetitest	1	1
megkurtitani	1	1
koaliciosizles	1	1
feltalalni	1	1
berecz	1	1
minttorgyan	1	1
szerepeben	1	1
kata	1	1
foglaljaossze	1	1
ketpartvezeto	1	1
tatog	1	1
nyitottsaga	1	1
fokmerojenek	1	1
vehetik	1	1
egyesultallamokban	1	1
semleges	1	1
fogalmabakhaddafi	1	1
eppenugy	1	1
beletartozik	1	1
szaddam	1	1
husszein	1	1
vasarolni	1	1
nemtudna	1	1
hirkozlesi	2	2
paragrafusa	1	1
amelyeta	1	1
azelektronikus	1	1
birtoklasat	1	1
rupert	1	1
murdochnak	1	1
hirkozlo	1	1
evemegvasarolja	1	1
sajtomagnas	1	1
holnap	6	4
peldaulkebelezni	1	1
felzudulas	2	2
kideritenek	1	1
multjanak	1	1
mozzanatakesleltette	1	1
nagykovetenek	1	1
jovahagyasat	1	1
nevetsegesse	1	1
ellehetetlenulne	1	1
torvenyiakadalyokrol	1	1
tenyreceloz	1	1
kadarszemelyes	1	1
iskolait	1	1
bantoltotte	1	1
kikuldetesben	1	1
amegoldast	1	1
udvozitonek	1	1
tartanakmagyarorszagon	1	1
legtokeerosebb	1	1
onnanerkezik	1	1
jatszananakszerepet	1	1
khaddafiakarna	1	1
isadna	1	1
olyanfoszerkesztot	1	1
valasztana	2	2
utcanak	1	1
iscsupan	1	1
tetszene	1	1
egyenloeselyeket	1	1
vevoamerikaiaknak	1	1
ahitozo	1	1
merlegutcanak	1	1
ternek	1	1
perszekerdeses	1	1
ketelyeink	1	1
ameddigvagyunk	1	1
jelentesben	2	2
rogos	1	1
dialogus	2	1
leuven	2	1
professzoranak	1	1
folytatjaaz	1	1
biralatat	1	1
grauwe	2	1
aztvizsgalja	1	1
emu	4	2
szerodes	1	1
vezessen	1	1
semkis	1	1
realiskilataskent	1	1
tekintettek	1	1
lepesnek	2	2
isminositjuk	1	1
amonetaris	3	1
utatir	1	1
idoszakalapfeltevese	1	1
penzugyiunioba	1	1
tagjaiva	1	1
akonvergencia	1	1
kriteriumoknak	1	1
merteketes	1	1
kamatlabakat	1	1
inflacios	10	3
rataju	6	1
orszageira	1	1
kellleszoritani	1	1
folyamatokkal	1	1
sokuk	1	1
unioajtaja	1	1
tagorszagokat	1	1
osztonzik	3	2
bekerulhessenek	1	1
politikusaik	1	1
intik	1	1
valasztokat	1	1
szenvedniuk	1	1
bebocsattatast	1	1
nyerhetnenek	1	1
paradicsomba	1	1
vehetikbiztosra	1	1
bejutnak	1	1
emuiranti	1	1
elparolog	1	1
szabtak	1	1
periodust	1	1
tortenelembenszamtalanszor	1	1
vegbement	1	1
egysegesules	1	1
magaviselethez	1	1
kellmesszebbre	1	1
unioralepett	1	1
keletnemet	1	1
vezeteskatasztrofalis	1	1
konvergencia	4	1
kriteriumokat	2	1
felteteleketaz	2	1
idoszaklara	2	1
orszagokazok	2	1
nyerhetnek	2	1
alacsonyabbinflacios	2	1
orszagokkal	4	2
osztozhatnak	2	1
azokkatasztrofalis	1	1
azokreputaciojaban	1	1
tartosan	1	1
inflaciojukat	1	1
azalacsony	3	1
uniora	2	1
elszabadul	2	2
odzkodnak	1	1
letrehozando	1	1
uniotol	1	1
strategiat	2	1
mutatkozo	1	1
asszimetria	1	1
magyarazza	4	3
rataval	1	1
buszkelkedo	1	1
orszagokcsak	1	1
feltetellel	3	3
magasinflacioval	1	1
sujtott	1	1
felvetelikikoteseknek	1	1
mondhatnank	1	1
haddbizonyitsak	1	1
inflacioju	2	1
leszoritasat	1	1
allamadossagot	1	1
kockazatosnak	1	1
szethullik	1	1
nehezsegekhet	1	1
penznemenek	1	1
arfolyamarendkivul	1	1
ingatagga	1	1
piacuknak	1	1
torekedni	1	1
hogymegvedjek	1	1
piacaikat	1	1
valutak	1	1
arfolyammozgasaitol	1	1
kockazatat	1	1
megtorpan	1	1
lendulete	1	1
boiztositekot	1	1
penzugyiunioban	1	1
megemberelik	1	1
ismondhatnank	1	1
olaszoknak	1	1
evebenannyira	1	1
leszoritani	1	1
bevegyek	1	1
monetarisunioba	1	1
honfitarsainknak	1	1
magatartasat	1	1
tajekan	1	1
ulnek	1	1
modjavan	1	1
inflacot	1	1
felmutato	2	2
bebiztosithassak	1	1
szokik	1	1
megfelelokeppen	1	1
rakjak	1	1
ezena	1	1
banknakpolitikai	1	1
befolyasolastol	1	1
mukodnie	1	1
vanarra	1	1
tennivalo	1	1
olyaneljarasrendet	1	1
lefektetni	1	1
europaikozponti	1	1
igazgatotanacsanak	1	1
ratatbiztositani	1	1
mozditani	1	1
hangsulytfektetni	1	1
kriteriumokra	1	1
szavatoljak	2	2
nemrobban	1	1
kulonfeleeuropai	1	1
azinflacios	1	1
elszabadulasanak	1	1
kockazata	1	1
korrupciosugyeknek	1	1
legkedveltebb	1	1
magyarorszagipolitikai	1	1
hetilapon	1	1
kezdenekrakapni	1	1
szovevenyboncolgatasara	1	1
helyzeti	1	1
elonyunket	1	1
megorizve	1	1
folytatjuktenyfeltaro	1	1
sorozatunkat	1	1
simlis	3	1
olajosok	1	1
kepebe	1	1
havonkenti	1	1
sajtotajekoztatonak	1	1
propagandamusoraban	1	1
nevenelhiresult	1	1
ugyhoz	1	1
vezetesehez	1	1
akormanyhoz	1	1
kornyezetehez	1	1
tartozopolitikusok	1	1
bukkan	1	1
azonositja	1	1
partvezetesevel	1	1
szarkaeminenciasai	1	1
lebonyolitasaban	1	1
barmilyenverseny	1	1
palyazat	1	1
cegeket	2	1
iktattak	1	1
szemelyeserdekeltsegeik	1	1
erdekeltseg	1	1
amelyetletrehozoi	1	1
hft	7	1
fedonevvel	1	1
vallalkozhatott	1	1
atranzakciokat	1	1
megtudhattukazt	1	1
ipai	1	1
fegyverkereskedelemmel	1	1
azotp	1	1
belekeveredettabba	1	1
eszkalalodo	1	1
meray	1	1
szerintmegkornyekezhetetlen	1	1
titkosszolgalatis	1	1
penzmosasnak	1	1
titulalt	1	1
isdolgozo	1	1
bisser	1	1
dimitrov	1	1
kollegaja	2	2
apropiroska	1	1
ferjenek	1	1
dobrevnek	1	1
piroska	1	1
voltminiszterhelyettes	1	1
amelyikben	2	1
saki	1	1
elhagyasa	1	1
azolajgate	1	1
kirobbanasa	1	1
felreallitottak	1	1
avp	1	1
reszvetelemellett	1	1
forumot	3	3
szamarakiderult	1	1
szemelyenkeresztul	1	1
valojabanhujber	1	1
megismerkedhettek	1	1
cegevel	1	1
esuzleti	1	1
hujberi	1	1
aranykopesek	1	1
nyugodtanaposztrofalhatunk	1	1
baromsagkent	1	1
gyongyszeme	1	1
mszpvallalkozoi	1	1
hogytorekedjenek	1	1
uzletek	2	1
elnyeresere	1	1
akorrupcio	1	1
arnyeka	1	1
megtudhattuk	1	1
szoroskapcsolat	1	1
cegeben	1	1
resztuljdonos	1	1
cegnel	2	2
hanemn	1	1
iskiderult	1	1
mellekletben	1	1
szambanfelvazolt	1	1
cegbol	1	1
muvek	2	2
magyarorszagonadozik	1	1
lyukas	1	1
zsebu	1	1
huszonotert	1	1
adoparadicsomokban	1	1
panamaban	2	1
avirgin	1	1
szigeteken	1	1
dublinban	1	1
ertesulhettek	1	1
torzstokevel	1	1
diaglenevu	1	1
helvet	1	1
berni	1	1
illetosegu	1	1
rozaly	1	1
sarkozitol	1	1
kesztetest	1	1
ajandekozasra	1	1
eltes	1	1
matrona	1	1
idokozben	3	3
rokona	1	1
schillinget	1	1
unokaocsikeje	1	1
nevereiratott	1	1
megsugta	1	1
bizalmasainak	1	1
alaptokejettermeszetesen	1	1
darizta	1	1
szivunkre	1	1
kezunket	1	1
alkalmazottol	1	1
isinkabb	1	1
enyhen	1	1
kusza	1	1
sejtelmes	1	1
sotnyugtalanito	1	1
iroi	1	1
lepodnenek	1	1
egykoriszovjet	1	1
tisztara	1	1
mosasaval	1	1
gyanusitana	1	1
befolyasosemberet	1	1
tisztazodnak	1	1
esminiszterei	1	1
szugyig	1	1
gazolnak	1	1
juthatnaaz	1	1
csapjunk	1	1
hurokba	1	1
rendelethujber	1	1
allitolagoktober	1	1
meginditott	1	1
dokumentumokattokestarsa	1	1
gyartulajdonos	1	1
expenztarnok	1	1
leendoex	1	1
csinaltatta	1	1
masban	1	1
matekuldte	1	1
adokumentumok	1	1
toredekenek	1	1
masolatahoz	1	1
teveallt	1	1
judas	1	1
iskolatarsanal	1	1
kemminiszternel	1	1
probalkozott	1	1
apparatusat	1	1
meginditasara	1	1
nhb	1	1
reflexek	1	1
eloszornem	1	1
nezett	2	2
erdeklodnek	1	1
aminositest	1	1
hasabjain	1	1
intve	1	1
ismetles	2	2
uggyelfoglalkozzon	1	1
kormanypartokkezeben	1	1
fougyesz	2	1
befogja	1	1
parttagjai	1	1
vonzkorebe	1	1
forumban	2	2
csengene	1	1
siessunk	1	1
rendeletekre	1	1
lehallgatottszemellyel	1	1
saros	1	1
informacioink	1	1
mszpvezetoinek	1	1
masika	1	1
tobbapro	1	1
eszlelte	1	1
hallgatozik	1	1
vonalan	1	1
egyikhonatya	1	1
titkosszolgalatieszkozoket	1	1
vetettek	1	1
korrupciojat	1	1
nyomozoiroda	1	1
visszaelest	1	1
leveleahogy	1	1
levelei	1	1
fejezetunkben	1	1
olvashattuk	2	2
sokakszerint	1	1
alindokok	1	1
hivataliidejenek	1	1
pillanataiban	1	1
tartalmazolevelben	1	1
bemoszerolta	1	1
bojkottalo	1	1
oroszolajvallalatot	1	1
jukoszra	1	1
haritott	1	1
hatastalannakbizonyult	1	1
barsonyszekebe	1	1
mackos	1	1
kullemu	1	1
kozigazgatasiallamtitkar	1	1
suppedt	1	1
harult	1	1
kivivjaa	1	1
hftmoszkvai	1	1
egett	1	1
tettvagytol	1	1
jokepu	1	1
bovivannak	1	1
nemakadt	1	1
tennivaloja	1	1
edesapja	1	1
miniszterunk	1	1
elodje	1	1
fegyveretvalasztotta	1	1
titkarnojevel	1	1
fuzetett	1	1
gepbe	1	1
diktalni	2	2
levelbol	1	1
fotokopia	1	1
emlokon	1	1
keptelenekallamok	1	1
uzletbol	1	1
hiababrummogott	1	1
maci	1	1
medvebocsok	1	1
komszomolistak	1	1
ajukoszt	1	1
atmentett	1	1
komszomol	1	1
privatizalta	1	1
okosabbnak	1	1
bizonyultak	1	1
kadereinknel	1	1
rendultek	1	1
milyengyonyoru	1	1
almokat	1	1
szottek	1	1
biztosak	1	1
megtornek	1	1
trojka	1	1
milliodollar	1	1
realizalodhat	1	1
kidolgoztak	1	1
agroilkozotti	1	1
azolajos	1	1
kovetkezokeppen	1	1
feladatai	1	1
megkeresi	1	1
olajtarsasagokat	2	1
hajlandokmagyarorszagra	1	1
olajuk	1	1
araert	1	1
magyarelelmiszert	1	1
vasarolnak	2	2
azokataz	1	1
demagyar	1	1
esetbebn	1	1
oroszkereskedo	1	1
kivannakvasarolni	1	1
olajvallalata	1	1
ezekutan	1	1
olajvasarlasra	1	1
oroszolajtarsasagokkal	1	1
megvasarolja	1	1
altalelelmiszer	1	1
vasarlasra	1	1
forditando	1	1
engedmenyezesealapjan	1	1
agroilnak	1	1
allamokkozotti	2	1
folozi	1	1
hftfonoke	1	1
olajban	1	1
utazott	1	1
uzletrol	1	1
jukosszal	1	1
komarnykompetenciajaba	1	1
lefolytatasara	1	1
patkonak	1	1
semmifelefelhatalmazasa	1	1
olajosokolvasoink	1	1
szemlelo	1	1
regotamegfogalmazodott	1	1
meglepoen	1	1
moszkow	1	1
bizniszmoszkovszkije	1	1
olvasojaval	1	1
tavalyev	1	1
osztja	1	1
tablazatokkal	1	1
alatamasztott	1	1
dmitrij	1	1
druzsinyin	1	1
cimadassal	1	1
atortenteket	1	1
megszorongatta	1	1
cikkbol	1	1
kellvasarolnia	1	1
szamitasai	2	2
magyarfinomitok	1	1
jukosztmint	1	1
jottment	1	1
zsarolot	1	1
magyargazdasagba	1	1
befektettek	1	1
jukoszmentett	1	1
esuzletemberek	1	1
vezetokormanylap	1	1
olyankepet	1	1
festeni	1	1
lovagkent	1	1
kenne	1	1
kuzdeni	1	1
ajukosz	1	1
sarkany	2	2
garantaltan	1	1
megkaphatnaszolid	1	1
partneretol	1	1
stabilan	2	2
koolajvezeteken	1	1
olajmennyiseg	1	1
mindazt	1	1
elfoagdhato	1	1
nyugtaazoknak	1	1
eljesen	1	1
torvenyesexport	1	1
olajvalallkozokka	1	1
mostkeszek	1	1
onos	1	1
tamadasokhoz	1	1
marhozzaszokott	1	1
jukoszton	1	1
rosszakaroik	1	1
aktivitasanakerosodese	1	1
pozicioinak	1	1
erosodesevel	1	1
hiszenbizonyos	1	1
aktivitasanak	1	1
olajvallalatstrategiajaban	1	1
prioritasos	1	1
ilyenvagy	1	1
kerulese	1	1
megbuknisem	1	1
magatol	6	4
kalapjat	1	1
meginditja	1	1
avizsgalatot	1	1
vesztenek	1	1
nepszerusegukbol	1	1
hatmagyarorszag	1	1
visszaterunk	1	1
behelyettesitesere	1	1
helyettesitesere	1	1
ishasznalhato	1	1
mellekletek	2	2
levelenek	1	1
fotokopiaja	1	1
sokkalinkabb	1	1
palotajanak	1	1
fenykepe	2	2
kepalairassal	1	1
szocreal	1	1
bolgarkertesz	1	1
alommal	1	1
vegyitve	1	1
kornyek	1	1
ujgazdag	1	1
kilatas	2	2
ipartelepekre	1	1
rosszak	1	1
ahazacskaban	1	1
olajpolitikus	1	1
azepitkezes	1	1
kivitelezoje	1	1
hujberjelentette	1	1
atepiteseben	1	1
atervezesben	1	1
rejtozik	1	1
ujnak	1	1
dossziejabolaz	1	1
allamikorrupcio	1	1
ellenforditas	1	1
bulletinjebol	1	1
lefasisztaznizri	1	1
nekete	1	1
sd	16	5
rko	1	1
zva	1	1
nyo	1	1
gyo	1	1
marja	1	1
gja	1	1
kebele	1	1
mlik	1	1
sebe	1	1
dtelen	1	1
zd	5	3
egyedu	1	1
gya	4	3
mja	1	1
veze	1	1
vesze	1	1
lybe	1	1
lda	3	2
ade	6	5
honodnak	1	1
pla	8	6
vala	1	1
vni	3	3
dfala	1	1
szi	1	1
lek	3	3
vesztegetve	1	1
tok	6	4
dfalat	1	1
vona	2	2
rba	1	1
njad	1	1
rendele	1	1
dve	3	2
nevelt	2	2
gyermeki	1	1
taposod	1	1
szennye	1	1
nememnek	1	1
hamvakon	1	1
tartsd	1	1
teremnekta	1	1
llja	1	1
nyem	1	1
rcsillagzatjaszu	1	1
nein	1	1
lesza	1	1
szeli	1	1
suga	1	1
rit	11	6
bbe	1	1
nyugtatjaaz	1	1
rhalmina	1	1
hon	1	1
folyam	1	1
zat	2	2
keblu	1	1
szebb	2	2
kies	9	2
kedvre	1	1
gyu	1	1
jko	1	1
jeszombati	1	1
lekozolt	1	1
miertmaradt	1	1
paktummalfoglalkozik	1	1
archivumaban	1	1
honapnal	1	1
anyagga	1	1
anyag	2	2
honlapjan	1	1
htmlaz	1	1
feltuntettuk	1	1
lemondotta	1	1
professzorral	1	1
tudomasunkra	1	1
kozossegenektiszteletbeli	1	1
rangjarol	1	1
ulesenezt	1	1
sajtotisztesseg	1	1
erdekebentettem	1	1
muktisztessegen	1	1
vetheto	1	1
talanrajta	1	1
lanyha	1	1
kuldottkozgyulesen	1	1
ujraszervezeset	1	1
nelkultortent	1	1
alapszabalyavalosszeegyeztethetetlen	1	1
nevemet	1	1
adhatom	1	1
kakukktojasez	1	1
partkepzodmeny	1	1
udvozlendo	1	1
nemhazugsagra	1	1
epulne	1	1
allomanya	1	1
bevallani	2	1
mertekig	1	1
eszmevel	1	1
atitatottak	1	1
akara	1	1
fideszben	2	2
mondasjellemezne	1	1
zsak	1	1
foltjat	1	1
partstrukturaban	1	1
marolyan	1	1
koncentraciot	1	1
egymillionyi	1	1
viselel	1	1
szavazatokban	1	1
tobblet	1	1
mindenkielott	1	1
fakulo	1	1
vorosokbol	1	1
sertodottsegbol	1	1
szadeszra	1	1
kakukktojas	1	1
ovaribudapest	1	1
ertelimisegi	1	1
vilagforum	1	1
vilagszovetsegefotitkara	1	1
vendege	1	1
eloadasanak	2	2
eljonni	1	1
eloadasra	1	1
bekuldhet	1	1
hirekbe	1	1
felteszunk	1	1
eloadonak	1	1
akapott	1	1
isbekapcsolodhatnak	1	1
ertekrendu	1	1
tagjaielsosorban	1	1
rendezvenyei	1	1
muhelyek	2	1
kialakulasates	1	1
szorakozasat	1	1
levelezesi	1	1
ujsaga	1	1
lemondas	1	1
kuldese	1	1
szolgasagbol	1	1
szabadsagba	1	1
febr	1	1
megmentesenek	1	1
felemelesenek	1	1
gazdasagpolitikaies	1	1
tenyanyaggal	1	1
cafolhatatlanul	1	1
aneoliberalis	1	1
kovetese	1	1
penzugyiintezetekhez	1	1
hatalmakhoz	1	1
igazodas	1	1
pusztulasat	1	1
esgyarmati	1	1
sullyedeset	1	1
egeszenbebizonyitotta	1	1
eletkeptelenseget	1	1
esmediahatalmat	1	1
leterdekei	1	1
ellenebenvalositja	1	1
hatalmassagai	1	1
rendkivulihasznot	1	1
garazdalkodasuk	1	1
novembereben	2	2
ezredfordulora	1	1
eltunteto	1	1
eloprivatizalas	1	1
aprivatizalas	1	1
melya	1	1
megkonstrualt	1	1
joghezagok	1	1
poziciokat	1	1
szereset	1	1
hatarahoz	2	2
bankelnok	1	1
mezogazdasagot	2	2
kereskedelmet	1	1
tulnyomotobbsege	1	1
vasarolt	1	1
agabansincs	1	1
korszerusiteni	1	1
mertelsorvasztja	1	1
termelest	1	1
marregota	1	1
tovabbihitelkepesseg	1	1
adossagtorlesztes	1	1
gorcsos	1	1
igyekezete	1	1
termeleselsorvasztasa	1	1
negyfele	1	1
elemzesevelbizonyitja	1	1
konfoderalis	1	1
kiteljesedesenek	1	1
vegkifejletet	1	1
iranyufolyamat	1	1
dezintegracio	1	1
regiok	3	2
alakulnakki	1	1
kapcsolodnak	1	1
regiohoz	1	1
lengyelekkel	1	1
csehekkel	1	1
szlovakokkal	1	1
horvatokkal	1	1
szlovenekkel	1	1
romanokkal	1	1
regio	2	2
nagynemetgazdasagi	1	1
terseghez	1	1
benelux	1	1
fogkozvetlenul	1	1
kotodni	1	1
szegenyebb	2	2
tersegnek	1	1
amotorja	1	1
megmenteset	1	1
felemelkedeset	1	1
celzoprogramjaban	1	1
erdekekkel	1	1
torodokormanynak	1	1
atvennie	1	1
beteljesedese	1	1
snagyon	1	1
semkorlatozva	1	1
elvezzen	1	1
rendteremtes	1	1
egyevesidoszakaban	1	1
leallitja	1	1
adossagtorelesztes	1	1
azonnalitargyalasokat	1	1
csokkentes	1	1
visszamenoen	1	1
vagyonleltart	1	1
amellyelrekonstrualja	1	1
vesztesegeit	1	1
utonvagyonelszamoltatast	1	1
allamivagyon	1	1
munkahelyekteremtesere	1	1
kozterheket	1	1
ellenorzi	1	1
abefizeteseket	1	1
esfelszamolja	1	1
jovedelemkulonbsegeket	1	1
minimalbert	1	1
szintjere	2	2
emelli	1	1
termekekre	1	1
arstopotvezet	1	1
kamatmentes	1	1
vallalkozasokhozes	1	1
lakasepitkezesekhez	1	1
infrastrukturat	1	1
kiemelten	2	2
azegeszsegugyet	1	1
tehetseg	1	1
afo	1	1
forrasunk	1	1
fejleszti	1	1
hozzakapcsolja	1	1
atermeleshez	1	1
mediumokat	2	2
muhelyekke	1	1
formalja	1	1
alkalmassa	1	1
tesziazokat	1	1
tajekoztatasra	1	1
manipulalasatmegszuntetve	1	1
partnerre	1	1
avatja	1	1
folyamatokban	1	1
szuksegesztendo	1	1
rendteremtese	1	1
allamra	1	1
jelentosellenorzo	1	1
magantulajdonban	1	1
formaciokbanes	1	1
vagyonforrasok	1	1
mukodtetese	2	2
anepessegcsokkenes	1	1
bearamlasanak	1	1
megallitasa	1	1
belsopiacot	1	1
kulfoldrola	1	1
hivjuk	1	1
agazatokban	1	1
amelyekfejlesztese	1	1
indulnia	1	1
europairegionalis	1	1
segitsegeteroteljesen	1	1
hoditani	1	1
elveszitett	1	1
keletipiacokat	1	1
czere	1	1
latogatasancsupan	1	1
anato	1	1
elfogadasarol	1	1
pocsekolja	1	1
mondtavlagyimir	1	1
avercsev	1	1
belsovitakban	1	1
szukolkodo	2	2
csikszeredai	1	1
elfogadottnyilatkozat	1	1
medencei	7	2
kozossegekmegmaradasanak	1	1
biztositasat	1	1
nemzetekmegyegyezeset	1	1
osszeuropai	1	1
ervenyesiteset	1	1
rendezesenek	1	1
keszuloalapszerzodesben	1	1
erheti	1	1
hahozzajarul	1	1
autonomiatorekveseit	1	1
rendezeshez	1	1
alternativinditvanyarol	1	1
lepesenek	1	1
magyarorszagifogadtatasarol	1	1
megkesett	2	2
nyulfarknyi	1	1
valaszleveleit	1	1
kormanyilletekesei	1	1
sorozatoseloterjesztesekre	1	1
autoritast	1	1
belaszovetsegi	1	1
szovetsegielnokenek	1	1
elnokmarosvasarhelyen	1	1
viktorral	2	1
zsolttal	1	1
fideszallaspontjat	1	1
szocs	1	1
gezat	1	1
magyarsagkepviselojekent	1	1
kozalapitvanykuratoriumanak	1	1
testuletebe	1	1
erdelyiszemelyiseget	1	1
reformegyertelmuen	1	1
teruletiegysegeken	1	1
tamasztja	1	1
kvarda	1	1
egyuttelesmozgalom	1	1
telefoninterjut	1	1
torvenyeka	1	1
integralodast	1	1
segitik	2	2
optimista	1	1
koszonettel	1	1
astabilizacio	1	1
aldozatvallalas	1	1
esremelhetoleg	1	1
novekedeshatasara	1	1
javulhat	1	1
arfolyam	1	1
politikan	1	1
kamatok	1	1
merseklodese	1	1
suranyiremeli	1	1
szazalekkalnott	1	1
enyhult	2	1
esrekordnagysagu	1	1
aramlott	2	1
azorszagba	1	1
eladtak	1	1
ezenbelul	1	1
regisztralhatott	1	1
alamerseklodik	1	1
eladosodott	2	2
inflaciohoz	1	1
folmeri	1	1
indexet	1	1
pesszimistabbnak	1	1
munkaidoben	1	1
fonelnagyobb	1	1
foglalkoztatottak	2	2
forintvolt	1	1
januarhoz	1	1
tavalyikeresetnovekedesi	1	1
utem	1	1
versenyszferabrutto	1	1
keresetei	1	1
inflacional	1	1
atlagkeresetek	1	1
atavaly	1	1
decemberinek	1	1
szintaz	1	1
keresetet	1	1
kormannyilatkozatok	1	1
kialakitja	1	1
azallamhaztartasi	1	1
megvalositasanak	2	2
utemterverol	1	1
reformhozkapcsolodo	1	1
menetrendrol	1	1
osszeferhetetlensegrol	2	2
szolojogszabalytervezet	1	1
akoalicios	1	1
horntajekoztatasa	1	1
okai	1	1
sajtotajekoztatoidopontjaban	1	1
imremartirra	1	1
nyilvanitasarol	1	1
torvenyjavaslatrol	1	1
felkesziteset	1	1
hogysajat	1	1
gondoskodjanak	1	1
peterpenzugyminiszter	1	1
mszpmunkas	1	1
vallakozoi	1	1
budapestiforuman	1	1
eltarthat	1	1
romliktovabb	1	1
novekedesindulhat	1	1
elejeota	1	1
nehezedik	2	2
berspiral	1	1
felporgeset	1	1
ezerthatarozottan	1	1
elutasit	1	1
hornkozolte	1	1
szakszervezetellenes	1	1
engedheti	1	1
felpuhitasat	1	1
kormanyfomegismetelte	1	1
fellepnihatarozott	1	1
megalakul	1	1
alak	1	1
bizonyitvanyat	1	1
tanulsagaicimu	1	1
bizonyitvanymagyarazataban	1	1
intezkedescsomagrestrikcios	1	1
igazifordulatot	1	1
vonatkozasban	2	2
szakitottsikeresen	1	1
tipusufelfogasaval	1	1
elinditotta	1	1
egyensulyorzo	1	1
leforditani	2	2
mindennapielet	1	1
megszoritast	1	1
pediga	1	1
egyszombathelyen	1	1
feketegazdasagelleni	1	1
kuzdelemrol	1	1
irodatrendvedelmi	1	1
jogkorokkel	1	1
felhatalmazni	1	1
gazdasagivezetokkel	1	1
atervezett	1	1
emeliindokolatlanul	1	1
arakat	1	1
azarbejelentesi	1	1
eszkozevel	2	2
amegalapozatlan	1	1
armodositasoknak	1	1
bizakodva	1	1
bizvast	1	1
feladatokra	1	1
oszpontosito	1	1
csapatmunkaval	1	1
folytatjamukodeset	1	1
zalaegerszegen	1	1
tartottsajtotajekoztatojan	1	1
munkarol	1	1
kozerzetet	1	1
javitodontesek	1	1
stabilizaciotszolgalo	1	1
gazdasagpolitikahoz	1	1
lepteku	1	1
reformoknak	1	1
kelltarsulniuk	1	1
amelyekhez	1	1
nyugalom	1	1
